topic,word,weight
0,lol,0.0207
0,take,0.0111
0,brohit,0.0107
0,,0.0103
0,innings,0.01
0,santner,0.0089
0,bro,0.0086
0,time,0.0085
0,koach,0.0075
0,said,0.0074
1,,0.1301
1,please,0.0157
1,-,0.0099
1,performed,0.0099
1,nz,0.0097
1,action,0.0097
1,questions,0.0096
1,*i,0.0093
1,moderators,0.0093
1,[contact,0.0092
2,pitch,0.0164
2,,0.0121
2,icc,0.0112
2,change,0.0094
2,hai,0.0084
2,boult,0.0077
2,win,0.0076
2,maybe,0.0061
2,reason,0.0058
2,people,0.0053
3,true,0.0113
3,hit,0.0096
3,fielding,0.0092
3,showing,0.0087
3,sara,0.0071
3,cameraman,0.0071
3,shastri,0.0064
3,high,0.0058
3,lockie,0.0055
3,kiwis,0.0051
4,,0.0375
4,[removed],0.0099
4,world,0.0097
4,australia,0.0065
4,🧿,0.0065
4,iyer,0.0064
4,wc,0.0063
4,got,0.0063
4,fuck,0.0062
4,see,0.006
5,kohli,0.0271
5,gill,0.0167
5,pitch,0.0135
5,rohit,0.0122
5,score,0.0112
5,come,0.0091
5,back,0.0072
5,want,0.007
5,bat,0.0059
5,well,0.0056
